id,name,cpu,gpu,ram,storage,psu,price
1,Entry-Level Gaming PC,Intel Core i3-12100F,NVIDIA GTX 1650,16GB DDR4,512GB NVMe SSD,500W,₹55,000
2,Entry-Level Gaming PC,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,16GB DDR4,1TB HDD + 256GB SSD,550W,₹58,000
3,Entry-Level Gaming PC,Intel Core i5-10400F,NVIDIA GTX 1650 Super,16GB DDR4,512GB SSD,500W,₹60,000
4,Entry-Level Gaming PC,AMD Ryzen 5 5500,NVIDIA RTX 3050,16GB DDR4,512GB NVMe SSD,500W,₹65,000
5,Entry-Level Gaming PC,Intel Core i3-13100F,NVIDIA RTX 3050,16GB DDR4,512GB SSD,500W,₹68,000
6,Mid-Range Gaming PC,Intel Core i5-12400F,NVIDIA RTX 3060,16GB DDR4,1TB NVMe SSD,600W,₹75,000
7,Mid-Range Gaming PC,AMD Ryzen 5 5600X,NVIDIA RTX 3060 Ti,16GB DDR4,1TB NVMe SSD,650W,₹85,000
8,Mid-Range Gaming PC,Intel Core i5-13400F,NVIDIA RTX 4060,16GB DDR5,1TB SSD,650W,₹90,000
9,Mid-Range Gaming PC,AMD Ryzen 7 5700X,NVIDIA RTX 3070,32GB DDR4,2TB NVMe SSD,700W,₹1,00,000
10,Mid-Range Gaming PC,Intel Core i5-13600KF,NVIDIA RTX 4060 Ti,32GB DDR5,1TB SSD,750W,₹1,10,000
11,High-End Gaming PC,Intel Core i7-12700K,NVIDIA RTX 4070,32GB DDR5,2TB NVMe SSD,750W,₹1,40,000
12,High-End Gaming PC,AMD Ryzen 7 7700X,NVIDIA RTX 4070 Ti,32GB DDR5,2TB NVMe SSD,850W,₹1,65,000
13,High-End Gaming PC,Intel Core i9-13900KF,NVIDIA RTX 4080,32GB DDR5,2TB NVMe SSD,850W,₹2,00,000
14,High-End Gaming PC,AMD Ryzen 9 7900X,NVIDIA RTX 4090,64GB DDR5,4TB NVMe SSD,1000W,₹3,00,000
15,High-End Gaming PC,Intel Core i9-14900K,NVIDIA RTX 4090,64GB DDR5,4TB NVMe SSD,1200W,₹3,50,000
16,Competitive eSports PC,Intel Core i5-12400F,NVIDIA RTX 3060,16GB DDR4,1TB NVMe SSD,650W,₹85,000
17,Competitive eSports PC,AMD Ryzen 7 5800X3D,NVIDIA RTX 3070 Ti,32GB DDR4,2TB NVMe SSD,750W,₹1,10,000
18,Competitive eSports PC,Intel Core i7-13700KF,NVIDIA RTX 4070,32GB DDR5,1TB SSD,850W,₹1,50,000
19,Competitive eSports PC,AMD Ryzen 9 7900X,NVIDIA RTX 4080,32GB DDR5,2TB NVMe SSD,850W,₹2,10,000
20,Competitive eSports PC,Intel Core i9-13900K,NVIDIA RTX 4090,64GB DDR5,4TB NVMe SSD,1000W,₹3,80,000
21,VR-Ready Gaming PC,Intel Core i5-13400F,NVIDIA RTX 3060 Ti,16GB DDR5,1TB SSD,750W,₹95,000
22,VR-Ready Gaming PC,AMD Ryzen 7 7700X,NVIDIA RTX 4070,32GB DDR5,2TB NVMe SSD,850W,₹1,45,000
23,VR-Ready Gaming PC,Intel Core i7-13700KF,NVIDIA RTX 4080,32GB DDR5,2TB NVMe SSD,1000W,₹2,25,000
24,VR-Ready Gaming PC,AMD Ryzen 9 7950X3D,NVIDIA RTX 4090,64GB DDR5,4TB NVMe SSD,1200W,₹3,50,000
25,VR-Ready Gaming PC,Intel Core i9-14900K,NVIDIA RTX 4090,64GB DDR5,4TB NVMe SSD,1200W,₹4,00,000
26,Streaming & Gaming Hybrid PC,Intel Core i7-12700K,NVIDIA RTX 3060 Ti,32GB DDR5,2TB NVMe SSD,750W,₹1,25,000
27,Streaming & Gaming Hybrid PC,AMD Ryzen 9 7900X,NVIDIA RTX 4070 Ti,32GB DDR5,2TB NVMe SSD,850W,₹1,70,000
28,Streaming & Gaming Hybrid PC,Intel Core i9-13900KF,NVIDIA RTX 4080,64GB DDR5,4TB NVMe SSD,1000W,₹2,50,000
29,Streaming & Gaming Hybrid PC,AMD Ryzen 9 7950X,NVIDIA RTX 4090,64GB DDR5,4TB NVMe SSD,1200W,₹3,70,000
30,Streaming & Gaming Hybrid PC,Intel Core i9-14900K,NVIDIA RTX 4090,128GB DDR5,8TB NVMe SSD,1600W,₹4,50,000
31,Entry-Level Gaming PC,Intel Core i3-12100F,NVIDIA GTX 1660 Super,16GB DDR4,512GB NVMe SSD,500W,₹63,000
32,Mid-Range Gaming PC,AMD Ryzen 5 5600X,NVIDIA RTX 3060 Ti,32GB DDR4,1TB NVMe SSD,750W,₹92,000
33,High-End Gaming PC,Intel Core i7-13700K,NVIDIA RTX 4070 Ti,32GB DDR5,2TB NVMe SSD,850W,₹1,70,000
34,Competitive eSports PC,AMD Ryzen 7 7800X3D,NVIDIA RTX 4080,32GB DDR5,2TB NVMe SSD,850W,₹2,20,000
35,VR-Ready Gaming PC,Intel Core i7-14700K,NVIDIA RTX 4090,64GB DDR5,4TB NVMe SSD,1200W,₹3,80,000
36,Streaming & Gaming Hybrid PC,AMD Ryzen 9 7950X3D,NVIDIA RTX 4090,64GB DDR5,4TB NVMe SSD,1200W,₹3,90,000
37,Entry-Level Gaming PC,Intel Core i3-13100F,NVIDIA RTX 3050,16GB DDR4,512GB SSD,500W,₹66,000
38,Mid-Range Gaming PC,AMD Ryzen 7 5700X,NVIDIA RTX 3070,32GB DDR4,2TB NVMe SSD,700W,₹1,05,000
39,High-End Gaming PC,Intel Core i9-13900K,NVIDIA RTX 4090,64GB DDR5,4TB NVMe SSD,1000W,₹3,40,000
40,Streaming & Gaming Hybrid PC,Intel Core i9-14900K,NVIDIA RTX 4090,128GB DDR5,8TB NVMe SSD,1600W,₹4,80,000
